discipline,nb_journals
clean_AGRI,3508
clean_ARTS,3115
clean_BIOC,4358
clean_BUSI,1774
clean_CENG,1113
clean_COMP,2688
clean_DECI,576
clean_DENT,293
clean_EART,1981
clean_ECON,1485
clean_ENER,701
clean_ENGI,4724
clean_ENVI,2458
clean_HEAL,806
clean_IMMU,1277
clean_MATE,2045
clean_MATH,2470
clean_MULT,194
clean_NEUR,1146
clean_NURS,816
clean_PHAR,1470
clean_PHYS,2071
clean_PSYC,1642
clean_SOCI,7576
clean_VETE,392
overall,32465
