discipline,nb_journals
AGRI,2262
ARTS,3670
BIOC,2411
BUSI,1369
CENG,697
COMP,1739
DECI,392
DENT,194
EART,1438
ECON,1075
ENER,462
ENGI,3325
ENVI,1628
HEAL,470
IMMU,706
MATE,1302
MATH,1577
MULT,119
NEUR,608
NURS,541
PHAR,905
PHYS,1290
PSYC,1097
SOCI,5591
VETE,253
overall,35121
